type,value
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,2.0
variable 1,2.0
variable 1,1.0
variable 1,2.0
variable 1,3.0
variable 1,4.0
variable 1,8.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,3.0
variable 1,1.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,-1.0
variable 1,2.0
variable 1,9.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,-2.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,2.0
variable 1,4.0
variable 1,-1.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,6.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,1.0
variable 1,7.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,7.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,-1.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,-1.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,5.0
variable 1,2.0
variable 1,1.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,4.0
variable 1,0.0
variable 1,-4.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,-3.0
variable 1,-1.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,2.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,8.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,-1.0
variable 1,-2.0
variable 1,3.0
variable 1,3.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,6.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,7.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,6.0
variable 1,4.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,-2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,-2.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,4.0
variable 1,0.0
variable 1,1.0
variable 1,1.0
variable 1,2.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,-1.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,-3.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,4.0
variable 1,5.0
variable 1,7.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
